precision,recall,f1-score,support,breed_name
0.8292682926829268,0.9855072463768116,0.9006622516556292,69.0,West Highland White Terrier
0.7628865979381443,0.8604651162790697,0.8087431693989071,86.0,Lhasa
0.96,0.9411764705882353,0.9504950495049505,51.0,Coated Retriever
0.8846153846153846,0.92,0.9019607843137255,50.0,Golden Retriever
0.9041095890410958,0.9295774647887324,0.9166666666666666,71.0,Labrador Retriever
0.9130434782608695,0.9402985074626866,0.9264705882352942,67.0,Chesapeake Bay Retriever
0.9811320754716981,1.0,0.9904761904761905,52.0,Haired Pointer
0.9607843137254902,0.9074074074074074,0.9333333333333333,54.0,Vizsla
0.9310344827586207,0.8852459016393442,0.907563025210084,61.0,English Setter
0.9807692307692307,0.9272727272727272,0.9532710280373832,55.0,Irish Setter
1.0,0.9622641509433962,0.9807692307692307,53.0,Gordon Setter
0.9607843137254902,0.9423076923076923,0.9514563106796117,52.0,Brittany Spaniel
0.9230769230769231,0.96,0.9411764705882353,50.0,Clumber
0.9508196721311475,0.9830508474576272,0.9666666666666667,59.0,English Springer
0.9782608695652174,0.9,0.9375,50.0,Welsh Springer Spaniel
0.8709677419354839,0.9152542372881356,0.8925619834710744,59.0,Cocker Spaniel
0.9230769230769231,0.9411764705882353,0.9320388349514563,51.0,Sussex Spaniel
0.9361702127659575,0.88,0.9072164948453608,50.0,Irish Water Spaniel
0.9583333333333334,0.92,0.9387755102040817,50.0,Kuvasz
0.9811320754716981,0.9629629629629629,0.9719626168224299,54.0,Schipperke
0.9090909090909091,1.0,0.9523809523809523,50.0,Groenendael
0.8064516129032258,1.0,0.8928571428571429,50.0,Malinois
0.8727272727272727,0.9230769230769231,0.897196261682243,52.0,Briard
0.6901408450704225,0.9245283018867925,0.7903225806451613,53.0,Kelpie
0.9811320754716981,0.9629629629629629,0.9719626168224299,54.0,Komondor
0.9305555555555556,0.9710144927536232,0.950354609929078,69.0,Old English Sheepdog
0.9193548387096774,1.0,0.957983193277311,57.0,Shetland Sheepdog
0.75,0.7358490566037735,0.7428571428571429,53.0,Collie
0.8048780487804879,0.66,0.7252747252747253,50.0,Border Collie
1.0,0.86,0.9247311827956989,50.0,Bouvier Des Flandres
0.8947368421052632,0.9807692307692307,0.9357798165137615,52.0,Rottweiler
1.0,0.8269230769230769,0.9052631578947369,52.0,German Shepherd
0.94,0.94,0.94,50.0,Doberman
0.9135802469135802,0.8809523809523809,0.896969696969697,84.0,Miniature Pinscher
0.9354838709677419,0.8529411764705882,0.8923076923076924,68.0,Greater Swiss Mountain Dog
0.9661016949152542,0.9661016949152542,0.9661016949152542,118.0,Bernese Mountain Dog
0.6438356164383562,0.9215686274509803,0.7580645161290323,51.0,Appenzeller
0.9310344827586207,0.7941176470588235,0.8571428571428571,102.0,Entlebucher
0.8461538461538461,0.8627450980392157,0.8543689320388349,51.0,Boxer
0.9607843137254902,0.875,0.9158878504672897,56.0,Bull Mastiff
0.9423076923076923,0.9423076923076923,0.9423076923076923,52.0,Tibetan Mastiff
0.90625,0.9830508474576272,0.943089430894309,59.0,French Bulldog
0.8548387096774194,0.9464285714285714,0.8983050847457628,56.0,Great Dane
1.0,0.9714285714285714,0.9855072463768116,70.0,Saint Bernard
0.47058823529411764,0.64,0.5423728813559322,50.0,Eskimo Dog
0.8068181818181818,0.9102564102564102,0.8554216867469879,78.0,Malamute
0.7777777777777778,0.532608695652174,0.632258064516129,92.0,Siberian Husky
1.0,0.98,0.98989898989899,50.0,Affenpinscher
0.9714285714285714,0.9357798165137615,0.9532710280373832,109.0,Basenji
0.9895833333333334,0.95,0.9693877551020408,100.0,Pug
1.0,0.990909090909091,0.9954337899543378,110.0,Leonberg
0.9278350515463918,0.9473684210526315,0.9375,95.0,Newfoundland
0.905982905982906,0.9380530973451328,0.9217391304347826,113.0,Great Pyrenees
0.9435483870967742,0.9915254237288136,0.9669421487603306,118.0,Samoyed
0.9669421487603306,0.9831932773109243,0.975,119.0,Pomeranian
1.0,0.9895833333333334,0.9947643979057592,96.0,Chow
0.9830508474576272,1.0,0.9914529914529915,58.0,Keeshond
0.9622641509433962,0.9622641509433962,0.9622641509433962,53.0,Brabancon Griffon
0.8888888888888888,0.9876543209876543,0.935672514619883,81.0,Pembroke
0.9574468085106383,0.8181818181818182,0.8823529411764706,55.0,Cardigan
0.7307692307692307,0.7450980392156863,0.7378640776699029,51.0,Toy Poodle
0.6956521739130435,0.5818181818181818,0.6336633663366337,55.0,Miniature Poodle
0.7794117647058824,0.8983050847457628,0.8346456692913385,59.0,Standard Poodle
1.0,0.9454545454545454,0.9719626168224299,55.0,Mexican Hairless
0.8245614035087719,0.8392857142857143,0.831858407079646,56.0,Dingo
0.9791666666666666,0.94,0.9591836734693877,50.0,Dhole
1.0,0.9855072463768116,0.9927007299270073,69.0,African Hunting Dog
0.9052447552447552,0.9052447552447552,0.9052447552447552,0.9052447552447552,accuracy
0.9029830533596666,0.901780571493142,0.9001717273708236,8580.0,macro avg
0.9095898135657584,0.9052447552447552,0.9054246504972265,8580.0,weighted avg
